iter	RMSE
429	0.5089919112
430	0.5083417775
431	0.5074407214
432	0.5065565481
433	0.5061010068
434	0.5037696663
435	0.5013528111
436	0.5007331734
437	0.5000263682
438	0.4993325799
439	0.4986368118
440	0.4984105296
441	0.4960822754
442	0.4952506528
443	0.4948802962
444	0.4921063858
445	0.4909687962
446	0.4887604025
447	0.4879520901
448	0.4872494316
449	0.4851922057
450	0.4835303214
451	0.4834165265
452	0.4828610447
453	0.4826940001
454	0.4818829965
455	0.4798295117
456	0.4793664752
457	0.4780702421
458	0.4771577987
459	0.4751877872
460	0.4745226528
461	0.4732625397
462	0.4707226387
463	0.4700401465
464	0.4675618362
465	0.4651400011
466	0.4643793951
467	0.4632635716
468	0.4627854422
469	0.4609550909
470	0.458626354
471	0.4563507856
472	0.4545713265
473	0.4537153759
474	0.4521088346
475	0.4509217414
476	0.449788422
477	0.4490446499
478	0.4468522778
479	0.4452592965
480	0.4439094916
481	0.4428087688
482	0.4423788154
483	0.4406371259
484	0.4393525785
485	0.438657498
486	0.4378946158
487	0.43639258
488	0.4356966738
489	0.4347804781
490	0.434035539
491	0.433406047
492	0.4323015649
493	0.4317629744
494	0.4307407886
495	0.4292310758
496	0.4285872455
497	0.4279225339
498	0.4272024927
499	0.4264526192
500	0.4244622973
501	0.4231235232
502	0.4227102987
503	0.4215051821
504	0.4198552725
505	0.4184331664
506	0.4170643162
507	0.4157289698
508	0.4155938955
509	0.4142210068
510	0.4124927991
511	0.411249239
512	0.4107345424
513	0.4099465855
514	0.4084287503
515	0.4075793444
516	0.4061404661
517	0.40469802
518	0.4036262959
519	0.4029901168
520	0.4025025384
521	0.4021877931
522	0.4008232439
523	0.3998295139
524	0.398464812
525	0.3981108137
526	0.3967567186
527	0.3957941062
528	0.3945913824
529	0.3940513574
530	0.3936988712
531	0.3935764903
532	0.3925263298
533	0.3914287183
534	0.391116408
535	0.3902727677
536	0.3892891434
537	0.3880788872
538	0.3874784418
539	0.3865632243
540	0.3862374842
541	0.3856280425
542	0.3844930277
543	0.3839064359
544	0.3834197414
545	0.3829457684
546	0.3818956459
547	0.3809729215
548	0.3797475305
549	0.3784202207
550	0.3775115368
551	0.3770579912
552	0.376848519
553	0.3764068432
554	0.3754377929
555	0.3750083061
556	0.374544488
557	0.37437503
558	0.3729539454
559	0.3728360166
560	0.3725665876
561	0.3720190278
562	0.3716090951
563	0.3709209752
564	0.3705206208
565	0.369771872
566	0.3693115015
567	0.3686245628
568	0.3674372625
569	0.3663392111
570	0.366187497
571	0.3661369614
572	0.365433553
573	0.365019767
574	0.3643451456
575	0.3638383896
576	0.3629613963
577	0.3626628733
578	0.3622832761
579	0.3617513561
580	0.3612616791
581	0.3601295818
582	0.3597665121
583	0.3586635028
584	0.3583099577
585	0.3574490754
586	0.3568398985
587	0.3559830516
588	0.3557659818
589	0.3548531106
590	0.3543156206
591	0.3539609157
592	0.3532364448
593	0.3526032061
594	0.351959475
595	0.3516924914
596	0.3508737161
597	0.3500105722
598	0.3494537938
599	0.3492284707
600	0.3486836473
601	0.3482567552
602	0.3477377963
603	0.3471881259
604	0.3463657371
605	0.3457732391
606	0.3449435614
607	0.3447517692
608	0.3445584329
609	0.3441154737
610	0.3435235747
611	0.3432008276
612	0.3419789482
613	0.3417734221
614	0.3411079619
615	0.3406976052
616	0.3398589141
617	0.3396980121
618	0.3388196186
619	0.3384194887
620	0.3380237287
621	0.3378042954
622	0.3372354339
623	0.336800567
624	0.3359691304
625	0.3354652744
626	0.3349670704
627	0.3341853657
628	0.3337989291
629	0.333260383
630	0.3328819615
631	0.3326787491
632	0.3326338488
633	0.3325031192
634	0.331847963
635	0.3311339585
636	0.330649431
637	0.3292963392
638	0.3290714096
639	0.328824725
640	0.3283533689
641	0.3279963992
642	0.3276227549
643	0.3271492357
644	0.3269046862
645	0.3264158569
646	0.3263072249
647	0.3256897316
648	0.3250974158
649	0.324949419
650	0.3245492398
651	0.3241437529
652	0.3234986165
653	0.3230711278
654	0.3226785078
655	0.3217904948
656	0.3215807727
657	0.3212312489
658	0.3206335429
659	0.3204728515
660	0.3202718817
661	0.3198361307
662	0.3192094814
663	0.3186727423
664	0.3183207676
665	0.3179503997
666	0.3176907208
667	0.3170785788
668	0.3167444358
669	0.3161545023
670	0.3157095245
671	0.3152761605
672	0.3147855413
673	0.3144879485
674	0.3141164177
675	0.3140007315
676	0.3132323622
677	0.3125936407
678	0.3120479118
679	0.3115330363
680	0.3108846232
681	0.3105355511
682	0.3102342172
683	0.3095458364
684	0.3089060066
685	0.3084307459
686	0.3079494272
687	0.3074445533
688	0.3066748487
689	0.3065600401
690	0.306043775
691	0.3055641176
692	0.3051436609
693	0.3045593093
694	0.3039182561
695	0.3034184759
696	0.3031816307
697	0.3030078762
698	0.3024596077
699	0.3014411827
700	0.3012385522
701	0.3008241244
702	0.3004941339
703	0.2994600226
704	0.2991876933
705	0.2987807558
706	0.2984937201
707	0.2975825229
708	0.29672379
709	0.2965669906
710	0.2958267858
711	0.2955924546
712	0.2953686401
713	0.2949911152
714	0.2944764544
715	0.2941967313
716	0.2939456347
717	0.2936805526
718	0.2933704453
719	0.2928730493
720	0.2926713948
721	0.2920511427
722	0.2918527655
723	0.2913830155
724	0.2912313144
725	0.2908824527
726	0.2907676134
727	0.290023056
728	0.2895915423
729	0.2892076629
730	0.2889427625
731	0.2884454145
732	0.2881037871
733	0.2874991028
734	0.2869934786
735	0.2866928834
736	0.2859641964
737	0.2854028973
738	0.2848033821
739	0.2842517242
740	0.2838281436
741	0.2835364575
742	0.283173452
743	0.282343113
744	0.2818477005
745	0.2814539415
746	0.2808553499
747	0.2806834837
748	0.2803099337
749	0.2800438109
750	0.279564276
751	0.2791248435
752	0.2787547273
753	0.2786100063
754	0.2784699262
755	0.2783683788
756	0.2782331986
757	0.2778208552
758	0.2776232585
759	0.2773815742
760	0.2769727601
761	0.2768057917
762	0.2765505847
763	0.2762410905
764	0.2757893846
765	0.2755712766
766	0.2753866172
767	0.2751361879
768	0.2749562304
769	0.274741762
770	0.2743929993
771	0.2736197745
772	0.2733809334
773	0.2724097715
774	0.271868479
775	0.2712784011
776	0.2710292493
777	0.2706084362
778	0.2704857864
779	0.270262976
780	0.2696141962
781	0.2689996388
782	0.2685188829
783	0.2682932308
784	0.2678479758
785	0.2672618488
786	0.266413051
787	0.2662009139
788	0.2656534383
789	0.2653640736
790	0.2650942681
791	0.2646373456
792	0.2643669685
793	0.2639400829
794	0.2635513534
795	0.2633650814
796	0.2631170103
797	0.2627886484
798	0.2624749911
799	0.2619146737
800	0.2615385069
801	0.2613347358
802	0.2611944316
803	0.2607376569
804	0.2601963515
805	0.2599414309
806	0.2596223402
807	0.2591811619
808	0.2590845362
809	0.2590046602
810	0.2586674315
811	0.2581952842
812	0.2579392055
813	0.2578255624
814	0.2574358253
815	0.2573916091
816	0.2567977163
817	0.2564081671
818	0.2562866496
819	0.2562590624
820	0.2560135405
821	0.2559898337
822	0.2556543182
823	0.2554074265
824	0.2549717692
825	0.2547983393
826	0.2543775371
827	0.2539813018
828	0.2537865773
829	0.2535128205
830	0.2534856979
831	0.2534111127
832	0.2528139178
833	0.2524959943
834	0.2523267602
835	0.2517506895
836	0.2511446044
837	0.2509397303
838	0.250779652
839	0.2504063553
840	0.2502964155
841	0.2499872497
842	0.2498627122
843	0.2495749672
844	0.2494043533
845	0.2490494019
846	0.2485842163
847	0.2482916135
848	0.2480613484
849	0.2477662817
850	0.2472444504
851	0.2467713291
852	0.24661031
853	0.2464925228
854	0.2462914466
855	0.2457211878
856	0.2456322885
857	0.2454671341
858	0.2452583896
859	0.2450295285
860	0.2448364907
861	0.2445310668
862	0.2444299785
863	0.2443352349
864	0.2441386384
865	0.2437795248
866	0.243314745
867	0.2432862323
868	0.2430496057
869	0.2424567141
870	0.2421792417
871	0.2420407755
872	0.2415946774
873	0.2413714745
874	0.2411049319
875	0.240823542
876	0.2406615039
877	0.2403950975
878	0.2395932837
879	0.2392100715
880	0.238993147
881	0.238607966
882	0.2385607061
883	0.238425626
884	0.2381403853
885	0.2377797517
886	0.2375132859
887	0.237395735
888	0.2372861647
889	0.2369436973
890	0.2365482819
891	0.2364480957
892	0.2362383151
893	0.2360469268
894	0.2357751919
895	0.2355632874
896	0.2355351024
897	0.2353678859
898	0.2352676709
899	0.2345135716
900	0.2342619088
901	0.2338585357
902	0.2333364329
903	0.2330388564
904	0.2328007021
905	0.2325131698
906	0.2321751736
907	0.2319273695
908	0.231797677
909	0.2315386235
910	0.2313904052
911	0.2311592558
912	0.2309747485
913	0.2304947586
914	0.229966794
915	0.2299199761
916	0.2291693802
917	0.2289666498
918	0.2284392683
919	0.2283178344
920	0.2281270275
921	0.2277924816
922	0.227500193
923	0.2274550834
924	0.2273499697
925	0.226919613
926	0.226757368
927	0.2265838599
928	0.2264126962
929	0.2261880301
930	0.2258667858
931	0.2253867782
932	0.2249917484
933	0.2245237706
934	0.2244448075
935	0.2242865767
936	0.2241381763
937	0.2240535334
938	0.2238753256
939	0.2238149152
940	0.2237163573
941	0.2235981128
942	0.22346509
943	0.223350035
944	0.2230258228
945	0.2228725558
946	0.2226104021
947	0.2221694071
948	0.2218550917
949	0.2215731436
950	0.2215522044
951	0.221325669
952	0.2208795534
953	0.2203878788
954	0.2201112847
955	0.2196437556
956	0.2192495764
957	0.2188740422
958	0.2185825702
959	0.2182971668
960	0.2182049724
961	0.2181098986
962	0.2180616611
963	0.2178918093
964	0.2176246993
965	0.2175117106
966	0.2174184456
967	0.2173284
968	0.2171577848
969	0.2169495384
970	0.2164297147
971	0.216198275
972	0.2160399919
973	0.2158344711
974	0.2154355414
975	0.2152649108
976	0.2150978175
977	0.2146832154
978	0.2141853012
979	0.2140059071
980	0.2136084896
981	0.2133210837
982	0.2132416835
983	0.2128531707
984	0.2122837074
985	0.2119056436
986	0.2116127434
987	0.2115431117
988	0.2115094474
989	0.2114424245
990	0.2108672902
991	0.2106913151
992	0.2103264622
993	0.2102324462
994	0.2101897647
995	0.2101615808
996	0.2100440788
997	0.2100278887
998	0.2097722291
999	0.2093947023
